id,key,n,c,p,location,sitename,sitenumber,lat,long,habitat,date,time,species,weight,tl,sl,sex,family,year
MOO18F112,AE1,6.6128571429,45.1120833333,0.6931007254,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,2018-03-24,11:30-13:45,Chaetodon vagabundus,81.6,15,12.4,NA,Chaetodontidae,2018
MOO18F114,AE1,0.7560640732,19.6554004577,0.151402709,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,2018-03-24,11:30-13:45,Melichthys vidua,301.9,22.2,18.6,NA,Balistidae,2018
MOO18F126,AE1,5.8947826087,33.040326087,1.5813635821,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,2018-03-26,10:00-10:45,Parupeneus multifasciatus,177.4,22.7,18,F,Mullidae,2018
MOO18F128,AE1,0.6016901408,16.3444131455,0.6319598858,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,2018-03-26,10:00-10:45,Balistapus undulatus,385.5,26.7,20.6,M,Balistidae,2018
MOO18F129,AE1,8.2562436548,45.0456345178,3.9629135622,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,2018-03-26,10:00-10:45,Cephalopholis urodeta,75.9,18.1,14.5,NA,Serranidae,2018
MOO18F132,AE1,0.57875,15.69765625,0.1342573649,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,2018-03-26,11:20-12:30,Halichoeres hortulanus,174.8,25.6,19.2,M,Labridae,2018
MOO18F139,AE1,1.6297931034,19.288091954,0.439475023,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,2018-03-26,11:20-12:30,Halichoeres trimaculatus,63.7,16.6,13.3,NA,Labridae,2018
MOO18F141,AE1,0.8036743215,16.2649269311,0.1421153256,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,2018-03-26,11:20-12:30,Halichoeres hortulanus,57.8,16.4,13.3,NA,Labridae,2018
MOO18F143,AE1,14.2993975904,39.853271028,4.2127887898,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,2018-03-27,9:45-11:20,Parupeneus multifasciatus,370,29.8,23.5,M,Mullidae,2018
MOO18F145,AE1,3.4986440678,30.6870338983,0.2113905534,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,2018-03-27,9:45-11:20,Acanthurus triostegus,87.7,15,11,F,Acanthuridae,2018
MOO18F148,AE1,8.9525233645,44.3004205607,2.0297252468,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,2018-03-27,9:45-11:20,Paracirrhites hemistictus,175.9,20.7,17.2,M,Cirrhitidae,2018
MOO18F150,AE1,6.7062962963,33.9172943723,NA,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,2018-03-27,9:45-11:20,Sargocentron tiere,328.2,27.5,19.2,NA,Holocentridae,2018
MOO18F151,AE1,8.9478947368,45.5621381579,1.8163534126,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,2018-03-27,9:45-11:20,Paracirrhites hemistictus,146.2,19.5,16.7,NA,Cirrhitidae,2018
MOO18F158,AE1,3.1766990291,34.4014320388,0.2981091729,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,2018-03-27,9:45-11:20,Naso lituratus,168.9,21,15.7,NA,Acanthuridae,2018
MOO18F171,AE1,3.2441791045,30.7186567164,0.8475526608,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,2018-03-29,10:00-11:40,Sargocentron caudimaculatum,74.8,16.5,14.6,NA,Holocentridae,2018
MOO18F177,AE1,4.1680636605,28.0736074271,1.1617420266,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,2018-03-29,10:00-11:40,Cheilinus chlorourus,77.1,16.6,12.5,NA,Labridae,2018
MOO18F178,AE1,2.3708656716,22.2988656716,0.5937004177,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,2018-03-29,10:00-11:40,Sufflamen bursa,113.8,17.4,13.4,M,Balistidae,2018
MOO18F182,AE1,1.0516853933,17.1066292135,0.2606362956,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,2018-03-29,10:00-11:40,Monotaxis grandoculis,63.2,16.2,11.4,NA,Lethrinidae,2018
MOO18F187,AE1,3.4693617021,36.5389893617,0.2897531136,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Acanthurus triostegus,66.5,14,11.9,NA,Acanthuridae,2018
MOO18F188,AE1,16.85504,41.6072266667,3.6288568109,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Aulostomus chinensis,197.1,49.9,44.7,F,Aulostomidae,2018
MOO18F189,AE1,2.212987013,30.7622916667,0.160889703,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Acanthurus triostegus,73.9,16,12.5,NA,Acanthuridae,2018
MOO18F192,AE1,0.9071746032,18.2065714286,0.1321734135,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Cheilinus chlorourus,134,19.5,17.1,NA,Labridae,2018
MOO18F193,AE1,5.8943396226,25.1543632075,0.469947816,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Halichoeres hortulanus,249.8,26.1,20,M,Labridae,2018
MOO18F195,AE1,4.5622429907,18.3045093458,0.136240971,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Halichoeres hortulanus,158.2,21.2,19,NA,Labridae,2018
MOO18F196,AE1,2.263322884,16.1663636364,0.7630486322,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Epibulus insidiator,243.1,26.4,18.2,NA,Labridae,2018
MOO18F197,AE1,5.4774084507,30.5013802817,0.2845538751,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Monotaxis grandoculis,116.1,20.1,15.4,M,Lethrinidae,2018
MOO18F200,AE1,2.1174358974,32.2587820513,0.3348240594,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Stegastes nigricans,49.1,12,9.8,NA,Pomacentridae,2018
MOO18F202,AE1,3.7862108262,29.3617378917,0.6825923985,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,2018-03-30,10:45-12:40,Abudefduf sexfasciatus,117.6,17.4,13.3,NA,Pomacentridae,2018
MOO18F217,AE1,7.8963265306,42.0680102041,0.8157357907,Moorea,Tamae,S14,-17.50781,-149.76033,Slope,2018-03-31,11:45-14:00,Chaetodon reticulatus,59.1,12.3,10.9,NA,Chaetodontidae,2018
MOO18F229,AE1,2.474020202,21.0972525253,0.1477206607,Moorea,3Buoys,S15,-17.4869,-149.87532,Lagoon,2018-06-29,10:45-12:15,Zanclus cornutus,104.7,16.1,12.4,NA,Zanclidae,2018
MOO18F230,AE1,3.6781341108,31.1685714286,0.9655801095,Moorea,3Buoys,S15,-17.4869,-149.87532,Lagoon,2018-06-29,10:45-12:15,Odonus niger,106,19,15,M,Balistidae,2018
MOO18F240,AE1,2.6097175141,23.1548587571,0.4774887315,Moorea,3Buoys,S15,-17.4869,-149.87532,Lagoon,2018-06-29,10:45-12:15,Neoniphon sammara,66.2,17.4,13.1,F,Holocentridae,2018
MOO18F241,AE1,5.820475162,30.1198488121,1.165972044,Moorea,3Buoys,S15,-17.4869,-149.87532,Lagoon,2018-06-29,10:45-12:15,Parupeneus multifasciatus,107.3,21.4,15.9,F,Mullidae,2018
MOO18F242,AE1,1.5727102804,19.9853271028,0.4633742975,Moorea,3Buoys,S15,-17.4869,-149.87532,Lagoon,2018-06-29,10:45-12:15,Balistapus undulatus,369.3,26.1,19.2,NA,Balistidae,2018
MOO18F243,AE1,8.8146214099,37.9044125326,2.0257073774,Moorea,3Buoys,S15,-17.4869,-149.87532,Lagoon,2018-06-29,10:45-12:15,Parupeneus multifasciatus,132.6,22,19,F,Mullidae,2018
MOO18F249,AE1,1.3278504673,19.9023987539,0.3904110245,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Sufflamen bursa,72.3,15.1,11.6,F,Balistidae,2018
MOO18F250,AE1,0.1894736842,14.4647587719,0.0699211969,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Ctenochaetus striatus,99.6,19,16.8,NA,Acanthuridae,2018
MOO18F252,AE1,0.5656074766,16.4699766355,0.1362033635,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Chlorurus spilurus,278.9,24,19.2,M,Scaridae,2018
MOO18F254,AE1,7.7813449024,40.8951193059,1.0093094214,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Chaetodon ornatissimus,69.9,12.6,10.2,F,Chaetodontidae,2018
MOO18F256,AE1,5.9613866667,35.9174666667,0.5663213254,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Chaetodon ornatissimus,86.5,15,12,F,Chaetodontidae,2018
MOO18F257,AE1,1.6079620853,19.7172037915,0.2767809251,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Chlorurus spilurus,159.1,19.8,15.3,F,Scaridae,2018
MOO18F259,AE1,5.8258536585,28.8026219512,0.3108118588,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Melichthys vidua,282.6,20.5,16.2,NA,Balistidae,2018
MOO18F260,AE1,0.7483568075,18.8148356808,0.1493516316,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Melichthys niger,342.8,23.9,18.7,M,Balistidae,2018
MOO18F263,AE1,17.6651851852,29.8171693122,0.5260213427,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Melichthys vidua,158.9,17.6,13.4,F,Balistidae,2018
MOO18F265,AE1,10.6840108401,31.3473170732,2.0860399515,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Paracirrhites hemistictus,171.7,22.1,17.4,M,Cirrhitidae,2018
MOO18F266,AE1,6.0034311512,25.0471331828,2.1637373309,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Epibulus insidiator,232.3,25.1,17.5,F,Labridae,2018
MOO18F267,AE1,11.8889655172,49.6045258621,3.1316966875,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Cephalopholis argus,126.3,31.5,19.5,F,Serranidae,2018
MOO18F268,AE1,6.2815932914,26.8280083857,0.755739904,Moorea,Gump,S16,-17.47325,-149.81839,Slope,2018-06-30,10:45-12:30,Epibulus insidiator,234.6,26.1,21.2,F,Labridae,2018
MOO18F273,AE1,3.4230103093,14.6433814433,0.0515907012,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Ctenochaetus striatus,109.9,18.5,14.5,NA,Acanthuridae,2018
MOO18F274,AE1,6.1207272727,23.8233409091,0.2156695734,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Zanclus cornutus,96.9,16,13,M,Zanclidae,2018
MOO18F277,AE1,8.449015873,38.0261587302,0.6013067297,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Chaetodon vagabundus,74.2,14.9,11.9,M,Chaetodontidae,2018
MOO18F278,AE1,3.6623343849,25.2674132492,0.3983745848,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Chaetodon ornatissimus,103.9,15,12.5,F,Chaetodontidae,2018
MOO18F281,AE1,5.8733893557,37.2105042017,0.2391781046,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Zebrasoma scopas,121.7,17.5,14,NA,Acanthuridae,2018
MOO18F282,AE1,2.1735403727,26.0611801242,0.3500346898,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Melichthys vidua,296.7,22.5,17.9,M,Balistidae,2018
MOO18F283,AE1,6.0472279261,31.5051428571,0.0557010649,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Ctenochaetus striatus,127.3,20,15,NA,Acanthuridae,2018
MOO18F284,AE1,32.8763466042,26.0703517588,0.1489351595,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Halichoeres hortulanus,185.2,24.1,20.3,M,Labridae,2018
MOO18F285,AE1,16.1880851064,31.9901437372,0.8406757368,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Parupeneus multifasciatus,67.3,17.4,12.9,F,Mullidae,2018
MOO18F286,AE1,6.0343801653,35.6929958678,0.2080640297,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Zebrasoma scopas,125.9,17.5,14,M,Acanthuridae,2018
MOO18F287,AE1,10.9126436782,30.5415804598,0.8693065739,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Parupeneus multifasciatus,117.1,21.7,16.5,F,Mullidae,2018
MOO18F289,AE1,3.8341736695,22.0918487395,0.3187010726,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Halichoeres hortulanus,107.6,20,17,NA,Labridae,2018
MOO18F290,AE1,4.601,22.8987291667,0.3756303879,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Cheilinus chlorourus,97.3,18.1,13.7,NA,Labridae,2018
MOO18F292,AE1,3.7486956522,23.6130434783,0.5674994255,Moorea,LastPass,S17,-17.47321,-149.78116,Lagoon,2018-07-02,10:45-11:50,Sargocentron caudimaculatum,89.4,18,13.7,M,Holocentridae,2018
MOO18F296,AE1,7.9048231511,20.2934726688,0.2361985142,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Chlorurus spilurus,185,20.4,16.4,M,Scaridae,2018
MOO18F298,AE1,10.6518616352,40.3287292818,0.1636523281,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Acanthurus nigricans,134.1,17.1,13.8,F,Acanthuridae,2018
MOO18F299,AE1,2.0423762376,34.8953217822,0.1254901198,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Naso lituratus,112.5,19.5,14,F,Acanthuridae,2018
MOO18F300,AE1,7.0129353234,33.866641791,3.5207674008,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Chaetodon reticulatus,48.3,11.9,9.7,M,Chaetodontidae,2018
MOO18F302,AE1,3.5906574394,31.3183391003,1.0148065803,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Chaetodon ornatissimus,58.7,12.5,10.5,NA,Chaetodontidae,2018
MOO18F304,AE1,21.7832432432,41.4897196262,3.5917964917,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Paracirrhites hemistictus,103.1,18.1,14,M,Cirrhitidae,2018
MOO18F305,AE1,3.462300885,34.7447345133,0.4302248216,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Melichthys niger,220.7,20.2,16.5,F,Balistidae,2018
MOO18F310,AE1,4.2408888889,27.8059166667,0.8727305397,Moorea,TiaharaPass,S18,-17.48229,-149.88779,Slope,2018-07-03,10.15-11.55,Balistapus undulatus,91.3,15.1,11.9,F,Balistidae,2018
MOO18F315,AE1,1.9520712695,20.2687750557,0.2493229853,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Chlorurus spilurus,314.9,24.2,20.1,M,Scaridae,2018
MOO18F317,AE1,9.7182242991,30.4046620047,0.446331989,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Chlorurus spilurus,293.2,23.7,18.2,M,Scaridae,2018
MOO18F318,AE1,7.7527710843,37.8301204819,1.1013614821,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Chaetodon ornatissimus,80.8,13.4,11,F,Chaetodontidae,2018
MOO18F320,AE1,6.9984458078,45.4730470348,0.7682502261,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Chaetodon reticulatus,53.6,11.5,9,NA,Chaetodontidae,2018
MOO18F321,AE1,6.677435897,35.63291977,0.8602063368,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Chaetodon reticulatus,55.5,12.1,10,NA,Chaetodontidae,2018
MOO18F325,AE1,4.055,26.4061057692,1.7804255427,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Epibulus insidiator,190.1,23.6,18.7,M,Labridae,2018
MOO18F327,AE1,2.718245614,26.1992324561,0.7093220498,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Melichthys niger,289.6,24,17.2,M,Balistidae,2018
MOO18F328,AE1,29.5170854271,34.3327586207,0.3667780489,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Paracirrhites hemistictus,165.4,21.2,16.8,M,Cirrhitidae,2018
MOO18F332,AE1,2.00212987,20.93537662,1.0673563737,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Parupeneus multifasciatus,33.6,13.9,10.5,F,Mullidae,2018
MOO18F335,AE1,2.4050688705,22.7015977961,0.5455495994,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Monotaxis grandoculis,784.1,36.5,28,M,Lethrinidae,2018
MOO18F336,AE1,14.3561497326,40.7837433155,2.9493926123,Moorea,Chrisp,S19,-17.47584,-149.83394,Slope,2018-07-04,10.00-12.00,Cephalopholis argus,187.3,21,18,F,Serranidae,2018
MOO18F339,AE1,9.7606976744,39.1979651163,5.9133026066,Moorea,OponohuDaybreakII,S20,-17.48607,-149.85915,Slope,2018-07-05,7.50-8.35,Cephalopholis urodeta,87.9,17.6,14.1,M,Serranidae,2018
MOO18F342,AE1,2.8387096774,21.69,0.2527573885,Moorea,OponohuDaybreakII,S20,-17.48607,-149.85915,Slope,2018-07-05,7.50-8.35,Sargocentron tiere,76.5,22.5,19.5,F,Holocentridae,2018
MOO18F345,AE1,1.8182424242,22.1814545455,0.7231587805,Moorea,OponohuDaybreakII,S20,-17.48607,-149.85915,Slope,2018-07-05,7.50-8.35,Cephalopholis argus,211.5,24.4,18.7,F,Serranidae,2018
MOO18F346,AE1,5.4703703704,38.724382716,0.8603793219,Moorea,OponohuDaybreakI,S21,-17.4888,-149.85818,Lagoon,2018-07-05,6.30-7.40,Epinephelus merra,115.9,22,18,M,Serranidae,2018
MOO18F349,AE1,9.4426258993,37.2667041367,1.3524264731,Moorea,OponohuDaybreakI,S21,-17.4888,-149.85818,Lagoon,2018-07-05,6.30-7.40,Aulostomus chinensis,198.4,46.4,40.5,M,Aulostomidae,2018
MOO18F357,AE1,6.8809478673,33.1266824645,0.9876447603,Moorea,OponohuDaybreakI,S21,-17.4888,-149.85818,Lagoon,2018-07-05,6.30-7.40,Sargocentron caudimaculatum,113.5,19.2,16.2,F,Holocentridae,2018
MOO18F359,AE1,9.4637406484,43.0186284289,1.0678470809,Moorea,OponohuDaybreakI,S21,-17.4888,-149.85818,Lagoon,2018-07-05,6.30-7.40,Myripristis berndti,94.7,18,13.9,NA,Holocentridae,2018
MOO18F366,AE1,1.7834527687,21.7464495114,0.4454270366,Moorea,NinaSite,S23,-17.53193,-149.76105,Slope,2018-07-08,10.35-12.20,Sufflamen bursa,60.8,13.8,11.8,F,Balistidae,2018
MOO18F367,AE1,11.5298245614,40.9215288221,2.9844798057,Moorea,NinaSite,S23,-17.53193,-149.76105,Slope,2018-07-08,10.35-12.20,Cephalopholis urodeta,130.1,17.8,15.5,F,Serranidae,2018
MOO18F368,AE1,5.7990857143,33.0023428571,1.2380951628,Moorea,NinaSite,S23,-17.53193,-149.76105,Slope,2018-07-08,10.35-12.20,Melichthys niger,165.7,26.4,18.5,F,Balistidae,2018
MOO18F370,AE1,2.6347643979,41.7621989529,0.4271710755,Moorea,NinaSite,S23,-17.53193,-149.76105,Slope,2018-07-08,10.35-12.20,Chaetodon auriga,62.5,18,15,F,Chaetodontidae,2018
MOO18F379,AE1,3.2771597633,30.7211439842,0.2778184492,Moorea,NinaSite,S23,-17.53193,-149.76105,Slope,2018-07-08,10.35-12.20,Acanthurus nigricans,137.4,16.9,12.6,F,Acanthuridae,2018
MOO18F384,AE1,0.1093913043,13.5883478261,0.032748072,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Ctenochaetus striatus,114.5,19.6,13.2,NA,Acanthuridae,2018
MOO18F385,AE1,3.8009039548,39.0490677966,0.2282895177,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Zebrasoma scopas,60.7,13.7,9.6,F,Acanthuridae,2018
MOO18F388,AE1,0.9332224532,17.3505197505,0.1938218259,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Stegastes nigricans,54,13,10,F,Pomacentridae,2018
MOO18F389,AE1,2.247628866,26.3290463918,0.7986291599,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Sufflamen bursa,110.2,16.9,13.2,M,Balistidae,2018
MOO18F390,AE1,0.8273417722,17.5204556962,0.1696778784,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Stegastes nigricans,52.3,13.5,10.5,M,Pomacentridae,2018
MOO18F393,AE1,5.335828877,39.6662032086,1.6679479089,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Abudefduf sexfasciatus,65.5,16.5,12,F,Pomacentridae,2018
MOO18F394,AE1,1.9585438972,19.7978372591,0.1461412275,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Zanclus cornutus,100.5,15.5,12.1,F,Zanclidae,2018
MOO18F395,AE1,7.6979487179,41.1158760684,0.739822523,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Chaetodon vagabundus,75.8,15,13,M,Chaetodontidae,2018
MOO18F396,AE1,2.2653776435,20.0649848943,0.1853149725,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Zanclus cornutus,80.5,15.5,12.4,F,Zanclidae,2018
MOO18F397,AE1,3.6357024793,31.4271625344,0.5364544839,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Balistapus undulatus,267.4,21.9,17.1,F,Balistidae,2018
MOO18F399,AE1,3.3013333333,34.4096,0.3021155654,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Acanthurus triostegus,98.1,15.1,11.2,M,Acanthuridae,2018
MOO18F400,AE1,2.9112250712,23.6529059829,0.2074796292,Moorea,AlexSite,S24,-17.484337,-149.89367,Lagoon,2018-07-09,10.45-12.20,Halichoeres trimaculatus,22.3,12,10,NA,Labridae,2018
MOO18F411,AE1,1.0679012346,18.8408641975,0.1974253906,Moorea,HaapitiFringe,S25,-17.57871,-149.86313,Lagoon,2018-07-10,10.50-12.10,Cheilinus chlorourus,169.3,20.7,16.1,F,Labridae,2018
MOO18F412,AE1,4.8924050633,34.9801898734,0.7704687073,Moorea,HaapitiFringe,S25,-17.57871,-149.86313,Lagoon,2018-07-10,10.50-12.10,Centropyge flavissima,26.8,10.1,8.4,F,Pomacanthidae,2018
MOO18F413,AE1,6.6225108225,39.5770995671,0.7253495195,Moorea,HaapitiFringe,S25,-17.57871,-149.86313,Lagoon,2018-07-10,10.50-12.10,Chaetodon vagabundus,74.3,15,12,F,Chaetodontidae,2018
MOO18F421,AE1,7.4966666667,42.80575,1.0006863346,Moorea,HaapitiFringe,S25,-17.57871,-149.86313,Lagoon,2018-07-10,10.50-12.10,Chaetodon vagabundus,67.9,15.1,12.2,NA,Chaetodontidae,2018
MOO18F422,AE1,10.0763870968,43.3739354839,3.2964333724,Moorea,HaapitiFringe,S25,-17.57871,-149.86313,Lagoon,2018-07-10,10.50-12.10,Myripristis berndti,114.8,19,14.5,M,Holocentridae,2018
