species,id,biomass,biomass_dry,tl,C,N,P,location,source,Species,Family,max_size
Acanthurus_triostegus,AC_TR_MO_03_16_012,106.5,25.7119,18.0446,34.3,11.09,1.247632509,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_013,123,36.021,18.8877,40.12,10.9,2.14738649,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_014,107.3,29.9493,17.4348,35.62,10.14,4.709234708,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_015,84.6,24.1726,15.3409,41.04,11.43,4.802521442,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Acanthurus_triostegus,AC_TR_MO_03_16_016,113.6,33.5846,17.1356,35.66,9.2,1.758163161,Moorea,nectar_Parravicini,Acanthurus triostegus,Acanthuridae,27
Balistapus_undulatus,BA_UN_MO_03_16_001,451.5,158.4,28.3016,38.73,10.49,4.878907052,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_002,131.7,42.1,18.9435,30.26,9.51,5.543189428,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_003,145.3,45.1,20.3955,31.97,10.12,5.941956864,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_004,146.6,47.8,19.2429,29.71,9,5.669327275,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_005,137.1,44.6,19.9545,26.26,8.27,1.393832404,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_006,118.6,36.5,17.3895,24.9,8.06,6.24930992,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_007,55.2,16.8,14.1016,31.65,9.49,6.094669382,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_008,52.5,17.8,13.815,32.62,8.8,6.00366971,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_009,43.3,14.6,13.0434,31.95,9.3,5.892847411,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_010,48.9,15.5,12.906,35.66,9.26,6.046578352,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_011,30.4,9.7,11.7184,29.49,9.13,6.121834502,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_012,22.3,6.9,10.6739,34.62,9.71,6.19998057,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,BA_UN_MO_03_16_013/014/015,3.53333333333333,1,5.15093333333333,30.92,9.35,5.726959738,Moorea,nectar_Parravicini,Balistapus undulatus,Balistidae,30
Bothus_mancus,BO_MA_MO_03_16_001,140.1,32.5226,23.6481,40.44,13.21,0.299891762,Moorea,nectar_Parravicini,Bothus mancus,Bothidae,45
Bothus_mancus,BO_MA_MO_03_16_002,109.7,25.2768,21.9503,40.88,13.53,0.264341371,Moorea,nectar_Parravicini,Bothus mancus,Bothidae,45
Bothus_mancus,BO_MA_MO_03_16_003,70.5,17.1024,17.7881,38.06,11.98,1.962324826,Moorea,nectar_Parravicini,Bothus mancus,Bothidae,45
Bothus_mancus,BO_MA_MO_03_16_004/005/006,6.33333333333333,1.16693333333333,8.58186666666667,37.08,12.18,2.053675585,Moorea,nectar_Parravicini,Bothus mancus,Bothidae,45
Bothus_mancus,BO_MA_MO_03_16_007/008,2.45,0.4376,6.02795,38.96,12.6,2.83988602,Moorea,nectar_Parravicini,Bothus mancus,Bothidae,45
Canthigaster_solandri,CA_SO_MO_03_16_001/002/003/004/005,1.34,0.27984,3.83008,34.89,10.35,4.554184672,Moorea,nectar_Parravicini,Canthigaster solandri,Tetraodontidae,11.5
Centropyge_bispinosa,CE_BI_MO_03_16_001,11.8,3.7751,8.0267,27.78,8.93,1.180700047,Moorea,nectar_Parravicini,Centropyge bispinosa,Pomacanthidae,10
Centropyge_bispinosa,CE_BI_MO_03_16_002/3/4,3.3,0.869433333333333,5.14086666666667,40.12,12.78,4.379610723,Moorea,nectar_Parravicini,Centropyge bispinosa,Pomacanthidae,10
Centropyge_bispinosa,CE_BI_MO_03_16_005/6/7/8/9/10,1,0.266466666666667,3.53355,36.2,11.4,1.268306982,Moorea,nectar_Parravicini,Centropyge bispinosa,Pomacanthidae,10
Centropyge_flavissima,CE_FL_MO_03_16_001,19,6.2601,9.7487,29.9,7.51,4.953295867,Moorea,nectar_Parravicini,Centropyge flavissima,Pomacanthidae,14
Centropyge_flavissima,CE_FL_MO_03_16_002,19.1,5.9798,9.6232,27.5,8.47,4.927681379,Moorea,nectar_Parravicini,Centropyge flavissima,Pomacanthidae,14
Centropyge_flavissima,CE_FL_MO_03_16_003,17.4,5.9714,9.3512,30.07,7.8,4.556665347,Moorea,nectar_Parravicini,Centropyge flavissima,Pomacanthidae,14
Centropyge_flavissima,CE_FL_MO_03_16_004,14.5,4.486,8.2739,26.46,8.2,4.804398806,Moorea,nectar_Parravicini,Centropyge flavissima,Pomacanthidae,14
Centropyge_flavissima,CE_FL_MO_03_16_005,10.6,3.3757,7.4684,25.27,7.04,4.794205846,Moorea,nectar_Parravicini,Centropyge flavissima,Pomacanthidae,14
Centropyge_flavissima,CE_FL_MO_03_16_006/007,4.35,1.3725,5.81575,35.61,10.75,3.680696964,Moorea,nectar_Parravicini,Centropyge flavissima,Pomacanthidae,14
Cephalopholis_argus,CE_AR_MO_03_16_001,651.3,176.3,32.925,41.95,13.04,2.998883267,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_002,149.9,42.3,22.136,38.61,9.22,4.200712902,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_003,113.7,33.9,19.9998,41.28,10.66,3.486523406,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_004,144.1,40.6,20.6128,41.25,11.62,3.756380133,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_005,65.7,17.6,16.2996,31.27,9.28,4.246446855,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_016,201.8,58.9,24.0855,39.99,10.61,3.553752667,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_016b,725.9,252.9,35.6794,43.04,9.18,2.132779509,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_017,139.7,38.7,21.4746,32.55,8.62,4.317013245,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_017b,399,117.8,31.4639,33.21,9.19,3.729685875,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_MO_03_16_018,19.7,5.4,12.0101,39.81,10.36,3.952420233,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_006,771.3,233.4,35.6269,46.99,10.9,2.474055919,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_007,577.6,164.6,32.1389,39.91,9.77,3.680011788,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_008,384.4,104.3,30.6196,39.44,8.31,4.049521284,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_009,607.1,180,34.226,37.97,8.74,4.247644942,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_010,285.3,78.8,27.6486,38.45,8.85,3.707769179,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_011,256.7,72.5,25.9444,40.51,10.76,3.150953289,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_012,319.6,90.6,26.8977,40.22,10.47,3.30786755,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_013,578.4,170.2,32.4731,42.73,10.06,2.449191424,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_014,360,98.7,31.0141,43.66,10.92,3.205842824,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Cephalopholis_argus,CE_AR_TA_03_16_015,266.3,72,25.751,38.2,9.65,3.286331533,Moorea,nectar_Parravicini,Cephalopholis argus,Serranidae,60
Chaetodon_citrinellus,CH_CI_MO_03_16_001,29,9.1258,10.9453,33.78,8.46,1.337261823,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_002,23,6.9122,10.0748,30.31,7.89,2.030242781,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_003,15,4.558,9.0829,32.51,8.72,2.68132264,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_004,12,3.7488,8.6076,31.37,8.09,2.309233047,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_005,9,2.34,7.2884,40.3,9.42,3.431623015,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_007/008,7.5,2.2046,7.09695,32.82,9.29,2.657858405,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_009/010,6,1.60125,6.69875,36.39,10.5,1.973139,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_011/012,6,1.48165,6.5937,35.78,10.5,2.341609311,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_013/014/015,4.33333333333333,1.137,6.0715,34.38,9.93,2.956356891,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_016/017/018/019,3,0.87445,5.536625,36.6,10.37,1.963464831,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Chaetodon_citrinellus,CH_CI_MO_03_16_020/021/022/023,0.8,0.313625,3.52245,33.81,6.42,1.558220805,Moorea,nectar_Parravicini,Chaetodon citrinellus,Chaetodontidae,13
Cheilinus_chlorourus,CH_CH_MO_03_16_001,69.4,19.3975,15.7453,34.99,9.65,2.93004199,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_002,22.7,5.5169,11.1441,42.61,13.41,1.867517596,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_003,15.1,3.6686,9.681,37.76,11.4,2.999136672,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_004,20.9,5.0665,9.5859,33.05,9.79,2.537888998,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_005,15.4,3.4747,8.6954,38.79,11.91,2.352203268,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_006,49.3,14,14.6361,33.5,9.69,1.516181205,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_007,27.9,7.2,12.3456,39.34,11.77,2.62042639,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_008,21.5,5.9,10.8289,35.96,11.61,1.744574814,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_009,9.9,2.9,8.2914,42.5,13.71,2.654103858,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_chlorourus,CH_CH_MO_03_16_010,351.4,95.7,29.8773,42.74,11.61,3.200332667,Moorea,nectar_Parravicini,Cheilinus chlorourus,Labridae,45
Cheilinus_trilobatus,CHE_TR_MO_03_16_001,34.1,6.7,12.4665,41.01,12.43,3.269686744,Moorea,nectar_Parravicini,Cheilinus trilobatus,Labridae,45
Cheilinus_trilobatus,CHE_TR_MO_03_16_002,160.8,45.1,22.7796,34.73,11.53,4.716137584,Moorea,nectar_Parravicini,Cheilinus trilobatus,Labridae,45
Cheilinus_trilobatus,CHE_TR_MO_03_16_003/004,4.45,0.95,6.1468,40.93,12.96,2.37460743,Moorea,nectar_Parravicini,Cheilinus trilobatus,Labridae,45
Cheilio_inermis,CH_IN_MO_03_16_001,431,114,40.0551,38.74,12.14,2.835223744,Moorea,nectar_Parravicini,Cheilio inermis,Labridae,50
Cheilio_inermis,CH_IN_MO_03_16_002,350,94.1,38.6234,42.39,12.29,0.247465311,Moorea,nectar_Parravicini,Cheilio inermis,Labridae,50
Chlorurus_spilurus,CH_SO_MO_03_16_001,409,112,28.362,37.96,11.44,3.237347488,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_002,394.2,118.3,30.1746,44.72,11.23,3.623396046,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_003,355.6,114.1,25.7922,41.08,10.65,3.748348317,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_004,271.2,70.6,28.0713,31.92,10.05,4.558998152,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_005,234.7,68.6,25.5861,33.98,9.47,4.357210495,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_006,242.5,76.6,24.1349,43.49,11.25,2.823358003,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_007,267.5,77.9,25.6479,34.67,9.67,3.655436225,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_008,263.2,73.3,25.9664,34.04,9.66,3.88302995,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_009,200,54.3,22.4684,36.06,10.43,4.057045226,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_010,147.8,39.1,20.0112,35.02,10.7,3.755202067,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_011,222.1,60.1,21.9362,36.59,11.18,3.500961258,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_012,171,45.9,20.6635,31.23,9.42,4.331126522,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_013,137.9,37.8,19.7295,31.33,9.51,4.312198311,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_014,140.5,33.9,21.0155,35.08,10.74,4.133001338,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_015,132.5,35.2,18.8004,37.23,11.43,3.879419765,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_016,99.5,26.9,18.2632,39.7,11.98,2.57942995,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_017,104,27,17.396,37.45,11.48,3.168565581,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_018,96.9,25.2,18.445,29.79,9.19,4.103714613,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_MO_03_16_019,82,20.8,16.3703,37.59,11.33,2.192628687,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_020,414.4,106.5,29.0564,41.17,12.17,2.138803184,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_021,370.4,88.5,29.0564,43.46,13.39,2.476374187,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_022,321.9,74.1,25.7015,36.88,11.29,3.293320948,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_023,363.6,84.9,25.4762,41.7,12.59,3.248656793,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_024,246.7,58.4,25.7953,40.95,11.62,2.758072475,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_025,326.5,171.8,26.7778,38.63,11.98,3.010879012,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chlorurus_spilurus,CH_SO_TA_03_16_026,613.3,107.8,34.4108,40.11,11.73,3.58124223,Moorea,nectar_Parravicini,Chlorurus spilurus,Labridae,40
Chromis_iomelas,CH_JO_MO_03_16_001/2/3,3.2,0.886666666666667,5.72816666666667,34.25,9.7,1.238499497,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_iomelas,CH_JO_MO_03_16_004/5/6,2.76666666666667,0.684966666666667,5.51973333333333,34.6,10.88,1.951845444,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_iomelas,CH_JO_MO_03_16_007/8/9,2.63333333333333,0.6941,4.6543,36.46,10.54,6.623236486,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_iomelas,CH_JO_MO_03_16_010/11/12,2.36666666666667,0.668966666666667,4.499,38.73,11.44,2.758123652,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_iomelas,CH_JO_MO_03_16_013/14/15/16/17,1.98,0.56674,4.29912,36.75,11.14,5.678385871,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_iomelas,CH_JO_MO_03_16_018/19/20/21/22,1.84,0.51062,4.594675,37.8,11.16,1.776214919,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_iomelas,CH_JO_MO_03_16_023/24/25/26/27/28/29,1.05714285714286,0.282742857142857,3.93476666666667,36.95,11.82,1.644553062,Moorea,nectar_Parravicini,Chromis iomelas,Pomacentridae,8
Chromis_viridis,CH_VI_MO_03_16_001/002/003/004/005/006/007/008/009/010,1.04,0.28859,4.33111,36.19,10.02,3.633386164,Moorea,nectar_Parravicini,Chromis viridis,Pomacentridae,8
Chromis_viridis,CH_VI_MO_03_16_011/012/013/014/015/016/017/018/019/020/021/022/023/024/025,0.706666666666667,0.19854,3.75654666666667,35.34,9.62,3.145909128,Moorea,nectar_Parravicini,Chromis viridis,Pomacentridae,8
Ctenochaetus_striatus,CT_ST_MO_03_16_001,78,20.9,17.412,40.43,8.92,3.93592936,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_002,47,12,16.04,38.31,8.71,4.588116346,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_003,87,24.4,18.7646,40.9,9.37,3.842467258,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_004,74,19,17.6999,39.56,9.91,3.169133311,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_005,73,18.7,19.1168,34.51,9.01,4.056170903,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_006,76,20.1,17.8766,42.08,9.06,4.86514177,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_007,136,38.2,21.7856,42.31,9.07,4.094441681,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_008,148,42,21.7629,40.06,8.63,4.297817653,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_009,107,26,21.122,32.42,8.43,4.772466957,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_010,90,21.1,18.8335,38.18,8.7,3.99144118,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_011,113,30.1,19.6762,45.14,9.24,4.299566411,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_012,52,13.9,15.253,40.7,9.3,4.038266465,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_013,108,28.1,20.4612,41.52,9.23,3.907172667,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_014,86,22,19.9478,39.43,9.18,4.221844437,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_015,125,36.8,21.3417,43.26,8.22,4.098033124,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_016,69,18.8,17.5166,38.96,8.54,4.296833765,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,CT_ST_MO_03_16_017,87,24,19.2732,39.03,8.51,3.84192202,Moorea,nectar_Parravicini,Ctenochaetus striatus,Acanthuridae,26
Dascyllus_aruanus,DA_AR_MO_03_16_001,7.8,2.3767,7.0639,33.96,8.18,5.412246206,Moorea,nectar_Parravicini,Dascyllus aruanus,Pomacentridae,10
Dascyllus_aruanus,DA_AR_MO_03_16_002/003,6.15,2.4343,6.51495,27.79,6.38,5.418565619,Moorea,nectar_Parravicini,Dascyllus aruanus,Pomacentridae,10
Dascyllus_aruanus,DA_AR_MO_03_16_004/005,5,1.51055,6.3517,32.18,8.51,6.058256052,Moorea,nectar_Parravicini,Dascyllus aruanus,Pomacentridae,10
Dascyllus_aruanus,DA_AR_MO_03_16_006/007,5.25,1.67815,6.18765,35.27,8.18,5.842680446,Moorea,nectar_Parravicini,Dascyllus aruanus,Pomacentridae,10
Dascyllus_aruanus,DA_AR_MO_03_16_008/009/010,4.43333333333333,1.28383333333333,6.01136666666667,33.76,7.45,5.62349618,Moorea,nectar_Parravicini,Dascyllus aruanus,Pomacentridae,10
Dascyllus_aruanus,DA_AR_MO_03_16_011/012/013,3.76666666666667,1.1149,5.72773333333333,36.39,8.49,5.741572352,Moorea,nectar_Parravicini,Dascyllus aruanus,Pomacentridae,10
